Year,Month,Day,Discharge (ft3/s)
2000,4,9,7110
2000,4,10,3700
2000,4,11,2780
2000,4,12,2780
2000,4,13,2350
2000,4,14,1930
2000,4,15,1550
2000,4,16,1340
2000,4,17,1260
2000,4,18,1260
2000,4,19,1210
2000,4,20,1340
2000,4,21,4280
2000,4,22,3850
2000,4,23,4000
2000,4,24,2870
2000,4,25,2090
2000,4,26,1680
2000,4,27,1500
2000,4,28,1410
2000,4,29,1250
2000,4,30,1110
2000,5,1,968
2000,5,2,1160
2000,5,3,1210
2000,5,4,988
2000,5,5,961
2000,5,6,906
2000,5,7,774
2000,5,8,724
2000,5,9,704
2000,5,10,1730
2000,5,11,2730
2000,5,12,1480
2000,5,13,1460
2000,5,14,1700
2000,5,15,1260
2000,5,16,989
2000,5,17,856
2000,5,18,809
2000,5,19,6630
2000,5,20,4260
2000,5,21,2670
2000,5,22,2200
2000,5,23,1730
2000,5,24,1780
2000,5,25,2490
2000,5,26,1790
2000,5,27,1360
2000,5,28,1120
2000,5,29,956
2000,5,30,863
2000,5,31,761
2000,6,1,693
2000,6,2,728
2000,6,3,1090
2000,6,4,751
2000,6,5,607
2000,6,6,905
2000,6,7,1050
2000,6,8,766
2000,6,9,697
2000,6,10,815
2000,6,11,603
2000,6,12,2670
2000,6,13,2240
2000,6,14,9410
2000,6,15,3900
2000,6,16,4500
2000,6,17,3170
2000,6,18,3010
2000,6,19,4360
2000,6,20,2260
2000,6,21,1800
2000,6,22,3410
2000,6,23,1850
2000,6,24,1240
2000,6,25,1050
2000,6,26,1000
2000,6,27,1250
2000,6,28,936
2000,6,29,733
2000,6,30,649
2000,7,1,586
2000,7,2,511
2000,7,3,470
2000,7,4,488
2000,7,5,477
2000,7,6,414
2000,7,7,372
2000,7,8,344
2000,7,9,339
2000,7,10,414
2000,7,11,410
2000,7,12,343
2000,7,13,305
2000,7,14,286
2000,7,15,364
2000,7,16,486
2000,7,17,595
2000,7,18,461
2000,7,19,376
2000,7,20,320
2000,7,21,299
2000,7,22,305
2000,7,23,269
2000,7,24,242
2000,7,25,222
2000,7,26,203
2000,7,27,193
2000,7,28,187
2000,7,29,197
2000,7,30,291
2000,7,31,332
2000,8,1,1360
2000,8,2,955
2000,8,3,747
2000,8,4,608
2000,8,5,432
2000,8,6,329
2000,8,7,3480
2000,8,8,1390
2000,8,9,1390
2000,8,10,4380
2000,8,11,1340
2000,8,12,919
2000,8,13,958
2000,8,14,805
2000,8,15,634
2000,8,16,575
2000,8,17,434
2000,8,18,370
2000,8,19,340
2000,8,20,331
2000,8,21,300
2000,8,22,261
2000,8,23,315
2000,8,24,389
2000,8,25,345
2000,8,26,270
2000,8,27,241
2000,8,28,228
2000,8,29,216
2000,8,30,210
2000,8,31,207
2000,9,1,202
2000,9,2,258
2000,9,3,347
2000,9,4,321
2000,9,5,233
2000,9,6,200
2000,9,7,196
2000,9,8,195
2000,9,9,661
2000,9,10,603
2000,9,11,342
2000,9,12,292
2000,9,13,479
2000,9,14,395
2000,9,15,488
2000,9,16,547
2000,9,17,411
2000,9,18,328
2000,9,19,275
2000,9,20,247
2000,9,21,272
2000,9,22,275
2000,9,23,1190
2000,9,24,1400
2000,9,25,652
2000,9,26,473
2000,9,27,365
2000,9,28,326
2000,9,29,307
2000,9,30,279
2000,10,1,260
2000,10,2,245
2000,10,3,234
2000,10,4,459
2000,10,5,1000
2000,10,6,3750
2000,10,7,1880
2000,10,8,1370
2000,10,9,1110
2000,10,10,867
2000,10,11,720
2000,10,12,608
2000,10,13,489
2000,10,14,443
2000,10,15,408
2000,10,16,594
2000,10,17,992
2000,10,18,1010
2000,10,19,1060
2000,10,20,869
2000,10,21,434
2000,10,22,550
2000,10,23,921
2000,10,24,921
2000,10,25,921
2000,10,26,915
2000,10,27,741
2000,10,28,352
2000,10,29,424
2000,10,30,703
2000,10,31,694
2000,11,1,684
2000,11,2,675
2000,11,3,581
2000,11,4,302
2000,11,5,286
2000,11,6,277
2000,11,7,269
2000,11,8,265
2000,11,9,261
2000,11,10,283
2000,11,11,316
2000,11,12,371
2000,11,13,351
2000,11,14,331
2000,11,15,324
2000,11,16,319
2000,11,17,326
2000,11,18,354
2000,11,19,338
2000,11,20,330
